txtno,portid,portdate,opening,high,low,closing,bid,offer,volume,valuess
"5826255","BBCA","2025-01-02","9650.000","9900.000","9650.000","9900.000","9875.000","9900.000","38124800","373424090000"
"5826747","BBCA","2025-01-03","9850.000","9925.000","9825.000","9850.000","9825.000","9850.000","41916000","413273410000"
"5827571","BBCA","2025-01-06","9850.000","9875.000","9650.000","9675.000","9675.000","9700.000","41593900","404310072500"
"5828500","BBCA","2025-01-07","9675.000","9725.000","9525.000","9525.000","9525.000","9550.000","71318600","685707970000"
"5830048","BBCA","2025-01-08","9675.000","9775.000","9575.000","9675.000","9675.000","9700.000","55943100","540873132500"
"5831018","BBCA","2025-01-09","9750.000","9875.000","9725.000","9850.000","9850.000","9875.000","42733800","419861325000"
"5831317","BBCA","2025-01-10","9800.000","9925.000","9725.000","9725.000","9725.000","9750.000","72531300","711582285000"
"5832503","BBCA","2025-01-13","9625.000","9725.000","9625.000","9675.000","9675.000","9700.000","88270100","853411082500"
"5833253","BBCA","2025-01-14","9600.000","9725.000","9525.000","9525.000","9525.000","9575.000","70942600","680061042500"
"5834856","BBCA","2025-01-15","9575.000","9800.000","9550.000","9800.000","9775.000","9800.000","77098000","746002880000"
"5835281","BBCA","2025-01-16","9850.000","9925.000","9750.000","9750.000","9750.000","9775.000","76979000","754921277500"
"5836747","BBCA","2025-01-17","9750.000","9900.000","9650.000","9900.000","9875.000","9900.000","71033100","696773660000"
"5837001","BBCA","2025-01-20","9850.000","9875.000","9625.000","9625.000","9625.000","9650.000","112111200","1085222997500"
"5838182","BBCA","2025-01-21","9600.000","9675.000","9550.000","9575.000","9550.000","9575.000","124547900","1196904822500"
"5839485","BBCA","2025-01-22","9650.000","9675.000","9575.000","9600.000","9575.000","9600.000","90154800","865683077500"
"5840446","BBCA","2025-01-23","9600.000","9750.000","9600.000","9600.000","9600.000","9625.000","120515400","1161047515000"
"5840832","BBCA","2025-01-24","9625.000","9650.000","9350.000","9350.000","9350.000","9375.000","152057000","1441026497500"
"5841864","BBCA","2025-01-30","9150.000","9275.000","9150.000","9150.000","9150.000","9175.000","154645800","1421241562500"
"5843478","BBCA","2025-01-31","9250.000","9500.000","9225.000","9450.000","9425.000","9450.000","112982800","1062122740000"
"5843947","BBCA","2025-02-03","9400.000","9400.000","9225.000","9350.000","9325.000","9350.000","90439900","841721630000"
"5844657","BBCA","2025-02-04","9350.000","9400.000","9175.000","9175.000","9175.000","9200.000","94607700","875178227500"
"5845821","BBCA","2025-02-05","9100.000","9175.000","9100.000","9125.000","9125.000","9150.000","98229900","896442272500"
"5846703","BBCA","2025-02-06","9075.000","9100.000","8850.000","8950.000","8950.000","8975.000","171477800","1535509045000"
"5848330","BBCA","2025-02-07","8950.000","9350.000","8825.000","9350.000","9300.000","9350.000","131162200","1201760495000"
"5848578","BBCA","2025-02-10","9025.000","9250.000","9025.000","9150.000","9125.000","9150.000","76209100","696061780000"
"5849711","BBCA","2025-02-11","9025.000","9100.000","9000.000","9075.000","9075.000","9100.000","71188300","644089892500"
"5850922","BBCA","2025-02-12","8950.000","9150.000","8950.000","9150.000","9125.000","9150.000","121172600","1095997277500"
"5851369","BBCA","2025-02-13","9100.000","9150.000","9000.000","9000.000","9000.000","9025.000","90439700","817617295000"
"5852448","BBCA","2025-02-14","9000.000","9075.000","8950.000","8975.000","8950.000","8975.000","116274500","1044788057500"
"5853969","BBCA","2025-02-17","8975.000","9325.000","8975.000","9325.000","9325.000","9350.000","89096400","818775542500"
"5854315","BBCA","2025-02-18","9325.000","9575.000","9250.000","9300.000","9275.000","9300.000","107318300","1008047750000"
"5855123","BBCA","2025-02-19","9225.000","9250.000","8950.000","8950.000","8950.000","8975.000","154438200","1398125667500"
"5856740","BBCA","2025-02-20","8975.000","9025.000","8950.000","9000.000","8975.000","9000.000","119260800","1072820882500"
"5857670","BBCA","2025-02-21","8950.000","9000.000","8925.000","9000.000","9000.000","9025.000","106054700","952431897500"
"5858226","BBCA","2025-02-24","8925.000","8975.000","8875.000","8925.000","8925.000","8950.000","108530300","967663890000"
"5859292","BBCA","2025-02-25","8900.000","9000.000","8825.000","8825.000","8825.000","8850.000","101592700","903429712500"
"5860194","BBCA","2025-02-26","8800.000","8900.000","8725.000","8775.000","8775.000","8800.000","117843500","1036740425000"
"5860971","BBCA","2025-02-27","8800.000","8800.000","8500.000","8525.000","8525.000","8550.000","199991600","1722656545000"
"5862261","BBCA","2025-02-28","8525.000","8675.000","8425.000","8425.000","8425.000","8450.000","293095000","2489235352500"
"5863504","BBCA","2025-03-03","8600.000","8900.000","8550.000","8800.000","8800.000","8825.000","192944300","1691896030000"
"5864510","BBCA","2025-03-04","8900.000","8925.000","8675.000","8850.000","8850.000","8875.000","125418500","1107249032500"
"5865307","BBCA","2025-03-05","8825.000","9175.000","8825.000","9000.000","9000.000","9025.000","155207900","1403048962500"
"5865768","BBCA","2025-03-06","9200.000","9200.000","8975.000","8975.000","8975.000","9000.000","96270100","871269667500"
"5866771","BBCA","2025-03-07","9000.000","9000.000","8925.000","8925.000","8925.000","8950.000","82295300","736670570000"
"5867968","BBCA","2025-03-10","8750.000","8975.000","8725.000","8925.000","8925.000","8950.000","97652100","866770292500"
"5869012","BBCA","2025-03-11","8950.000","9050.000","8875.000","8925.000","8925.000","8950.000","109295600","978179175000"
"5870238","BBCA","2025-03-12","9025.000","9125.000","8975.000","9125.000","9125.000","9150.000","87968900","798921830000"
"5870535","BBCA","2025-03-13","9150.000","9175.000","8975.000","8975.000","8950.000","8975.000","83030700","752076935000"
"5871477","BBCA","2025-03-14","8800.000","8925.000","8750.000","8750.000","8750.000","8775.000","111397800","981318015000"
"5872442","BBCA","2025-03-17","8750.000","8775.000","8550.000","8600.000","8575.000","8600.000","151365700","1307956410000"
"5873495","BBCA","2025-03-18","8500.000","8550.000","8075.000","8300.000","8275.000","8300.000","417305700","3483017392500"
"5874787","BBCA","2025-03-19","8300.000","8400.000","8225.000","8325.000","8325.000","8350.000","214108200","1780914875000"
"5875817","BBCA","2025-03-20","8450.000","8475.000","8350.000","8375.000","8375.000","8400.000","152917300","1285249405000"
"5876194","BBCA","2025-03-21","8275.000","8275.000","7900.000","7900.000","7875.000","7900.000","377916400","3021950982500"
"5877901","BBCA","2025-03-24","7825.000","8100.000","7625.000","7950.000","7925.000","7950.000","331836800","2612317110000"
"5878739","BBCA","2025-03-25","8075.000","8150.000","8000.000","8050.000","8025.000","8050.000","136341700","1100140847500"
"5879833","BBCA","2025-03-26","8300.000","8650.000","8275.000","8525.000","8500.000","8525.000","283104600","2402948932500"
"5880182","BBCA","2025-03-27","8425.000","8575.000","8375.000","8500.000","8500.000","8525.000","122943900","1043465750000"
"5881166","BBCA","2025-04-08","7400.000","8000.000","7275.000","7775.000","7775.000","7800.000","533073600","4079992795000"
"5882638","BBCA","2025-04-09","7700.000","7950.000","7675.000","7925.000","7900.000","7925.000","136753900","1077648137500"
"5883481","BBCA","2025-04-10","8500.000","8650.000","8175.000","8225.000","8200.000","8225.000","144148600","1197904627500"
"5884432","BBCA","2025-04-11","8200.000","8325.000","8050.000","8275.000","8275.000","8300.000","82612400","681429587500"
"5885300","BBCA","2025-04-14","8250.000","8400.000","8250.000","8400.000","8400.000","8425.000","83319300","693698500000"
"5886482","BBCA","2025-04-15","8575.000","8600.000","8450.000","8575.000","8550.000","8575.000","83432800","712815082500"
"5886905","BBCA","2025-04-16","8500.000","8550.000","8425.000","8475.000","8450.000","8475.000","76886000","651617800000"
"5888240","BBCA","2025-04-17","8450.000","8500.000","8350.000","8500.000","8500.000","8525.000","83540600","706180447500"
"5888701","BBCA","2025-04-21","8500.000","8500.000","8300.000","8300.000","8300.000","8325.000","40683800","340094602500"
"5890312","BBCA","2025-04-22","8325.000","8500.000","8325.000","8500.000","8475.000","8500.000","56537100","478209102500"
"5891300","BBCA","2025-04-23","8550.000","8725.000","8550.000","8725.000","8700.000","8725.000","92329600","799720725000"
"5891530","BBCA","2025-04-24","8850.000","8850.000","8475.000","8475.000","8475.000","8500.000","143675300","1238390690000"
"5893100","BBCA","2025-04-25","8650.000","8650.000","8575.000","8600.000","8600.000","8625.000","58297000","502479220000"
"5894134","BBCA","2025-04-28","8750.000","8775.000","8650.000","8775.000","8750.000","8775.000","73235400","638943077500"
"5894552","BBCA","2025-04-29","8800.000","8825.000","8700.000","8725.000","8725.000","8750.000","60315700","526929982500"
"5896041","BBCA","2025-04-30","8800.000","8925.000","8675.000","8825.000","8825.000","8850.000","164597500","1455778187500"
"5897038","BBCA","2025-05-02","9000.000","9000.000","8850.000","8975.000","8950.000","8975.000","92219000","825304057500"
"5897505","BBCA","2025-05-05","9000.000","9050.000","8975.000","8975.000","8975.000","9000.000","86385600","778757830000"
"5898826","BBCA","2025-05-06","9050.000","9050.000","8975.000","9025.000","9000.000","9025.000","48860500","440640172500"
"5899802","BBCA","2025-05-07","9075.000","9100.000","9000.000","9075.000","9075.000","9100.000","77382000","701577602500"
"5900383","BBCA","2025-05-08","9075.000","9200.000","8925.000","8975.000","8975.000","9000.000","99614500","897955795000"
"5901769","BBCA","2025-05-09","9050.000","9050.000","8975.000","9000.000","9000.000","9025.000","47167500","425029637500"
